Zeit von [CET/CEST],Zeit bis [CET/CEST],Leistung [MW],demand1,time
01.01.2023 00:00:00,01.01.2023 01:00:00,5456.9,6275.466232257325,"(2030, 1)"
01.01.2023 01:00:00,01.01.2023 02:00:00,5280.8,6072.980448717949,"(2030, 2)"
01.01.2023 02:00:00,01.01.2023 03:00:00,5143.0,5914.538307005494,"(2030, 3)"
01.01.2023 03:00:00,01.01.2023 04:00:00,4958.7,5702.618523351648,"(2030, 4)"
01.01.2023 04:00:00,01.01.2023 05:00:00,4905.4,5641.350378891941,"(2030, 5)"
01.01.2023 05:00:00,01.01.2023 06:00:00,5025.8,5779.842589285714,"(2030, 6)"
01.01.2023 06:00:00,01.01.2023 07:00:00,5163.4,5938.1168669871795,"(2030, 7)"
01.01.2023 07:00:00,01.01.2023 08:00:00,5439.5,6255.674061355311,"(2030, 8)"
01.01.2023 08:00:00,01.01.2023 09:00:00,5696.1,6550.808411744505,"(2030, 9)"
01.01.2023 09:00:00,01.01.2023 10:00:00,5847.1,6724.499655448718,"(2030, 10)"
01.01.2023 10:00:00,01.01.2023 11:00:00,5884.5,6767.545475618132,"(2030, 11)"
01.01.2023 11:00:00,01.01.2023 12:00:00,5891.2,6775.284615384615,"(2030, 12)"
01.01.2023 12:00:00,01.01.2023 13:00:00,5767.5,6633.054129464285,"(2030, 13)"
01.01.2023 13:00:00,01.01.2023 14:00:00,5657.8,6506.923349358974,"(2030, 14)"
01.01.2023 14:00:00,01.01.2023 15:00:00,5690.1,6544.103504464286,"(2030, 15)"
01.01.2023 15:00:00,01.01.2023 16:00:00,5902.3,6788.185503663003,"(2030, 16)"
01.01.2023 16:00:00,01.01.2023 17:00:00,6297.0,7242.1626888736255,"(2030, 17)"
01.01.2023 17:00:00,01.01.2023 18:00:00,6690.4,7694.649258241758,"(2030, 18)"
01.01.2023 18:00:00,01.01.2023 19:00:00,6758.4,7772.8949450549435,"(2030, 19)"
01.01.2023 19:00:00,01.01.2023 20:00:00,6556.8,7541.07054945055,"(2030, 20)"
01.01.2023 20:00:00,01.01.2023 21:00:00,6215.5,7148.572055288461,"(2030, 21)"
01.01.2023 21:00:00,01.01.2023 22:00:00,5876.8,6759.059981684981,"(2030, 22)"
01.01.2023 22:00:00,01.01.2023 23:00:00,5856.4,6735.630931776556,"(2030, 23)"
01.01.2023 23:00:00,02.01.2023 00:00:00,5479.2,6301.832637362637,"(2030, 24)"
02.01.2023 00:00:00,02.01.2023 01:00:00,5231.4,6016.8585405219765,"(2030, 25)"
02.01.2023 01:00:00,02.01.2023 02:00:00,4995.0,5744.993303571428,"(2030, 26)"
02.01.2023 02:00:00,02.01.2023 03:00:00,4952.9,5696.600386332417,"(2030, 27)"
02.01.2023 03:00:00,02.01.2023 04:00:00,4921.4,5660.398685897436,"(2030, 28)"
02.01.2023 04:00:00,02.01.2023 05:00:00,5081.2,5844.223376831501,"(2030, 29)"
02.01.2023 05:00:00,02.01.2023 06:00:00,5646.5,6494.444522664834,"(2030, 30)"
02.01.2023 06:00:00,02.01.2023 07:00:00,6478.0,7450.849370421245,"(2030, 31)"
02.01.2023 07:00:00,02.01.2023 08:00:00,7252.5,8341.703296703296,"(2030, 32)"
02.01.2023 08:00:00,02.01.2023 09:00:00,7727.3,8887.854483173076,"(2030, 33)"
02.01.2023 09:00:00,02.01.2023 10:00:00,7975.5,9173.377008928572,"(2030, 34)"
02.01.2023 10:00:00,02.01.2023 11:00:00,7983.7,9182.854298878205,"(2030, 35)"
02.01.2023 11:00:00,02.01.2023 12:00:00,7956.3,9151.384347527473,"(2030, 36)"
02.01.2023 12:00:00,02.01.2023 13:00:00,7781.7,8950.602910370879,"(2030, 37)"
02.01.2023 13:00:00,02.01.2023 14:00:00,7660.4,8811.126066849816,"(2030, 38)"
02.01.2023 14:00:00,02.01.2023 15:00:00,7620.4,8765.160982142857,"(2030, 39)"
02.01.2023 15:00:00,02.01.2023 16:00:00,7728.9,8890.004436813186,"(2030, 40)"
02.01.2023 16:00:00,02.01.2023 17:00:00,7968.5,9165.644897550364,"(2030, 41)"
02.01.2023 17:00:00,02.01.2023 18:00:00,8217.2,9451.75528846154,"(2030, 42)"
02.01.2023 18:00:00,02.01.2023 19:00:00,8077.4,9290.997913232599,"(2030, 43)"
