Zeit von [CET/CEST],Zeit bis [CET/CEST],Wind [MW],Solar [MW],Biomasse [MW],Gas [MW],Kohle [MW],Öl [MW],Geothermie [MW],Pumpspeicher [MW],Lauf- und Schwellwasser [MW],Speicher [MW],Sonstige Erneuerbare [MW],Müll [MW],Andere [MW],time
01.01.2023 00:00:00,01.01.2023 01:00:00,0.29,0.0,240.0,27.7,0.0,0.0,0.072,-1515.4,0.36,78.8,0.0,100.0,22.0,"(2030, 1)"
01.01.2023 01:00:00,01.01.2023 02:00:00,0.27,0.0,240.0,28.2,0.0,0.0,0.072,-1586.2,0.36,69.2,0.0,100.0,22.0,"(2030, 2)"
01.01.2023 02:00:00,01.01.2023 03:00:00,0.28,0.0,240.0,28.2,0.0,0.0,0.072,-1696.7,0.35,67.8,0.0,100.0,22.0,"(2030, 3)"
01.01.2023 03:00:00,01.01.2023 04:00:00,0.25,0.0,240.0,35.8,0.0,0.0,0.072,-1723.2,0.34,71.2,0.0,100.0,22.0,"(2030, 4)"
01.01.2023 04:00:00,01.01.2023 05:00:00,0.16,0.0,242.0,51.5,0.0,0.0,0.072,-1665.5,0.35,110.1,0.0,100.0,22.0,"(2030, 5)"
01.01.2023 05:00:00,01.01.2023 06:00:00,0.1,0.0,244.0,51.3,0.0,0.0,0.072,-1540.2,0.35,109.4,0.0,100.0,22.0,"(2030, 6)"
01.01.2023 06:00:00,01.01.2023 07:00:00,0.09,0.0,244.0,51.9,0.0,0.0,0.072,-1058.1,0.36,94.1,0.0,100.0,22.0,"(2030, 7)"
01.01.2023 07:00:00,01.01.2023 08:00:00,0.06,0.0,244.0,51.3,0.0,0.0,0.072,-1068.1,0.37,141.1,0.0,100.0,22.0,"(2030, 8)"
01.01.2023 08:00:00,01.01.2023 09:00:00,0.08,0.01,244.0,52.0,0.0,0.0,0.072,-841.0,0.39,113.2,0.0,100.0,22.0,"(2030, 9)"
01.01.2023 09:00:00,01.01.2023 10:00:00,0.06,0.03,244.0,55.3,0.0,0.0,0.072,-951.6,0.41,152.7,0.0,100.0,22.0,"(2030, 10)"
01.01.2023 10:00:00,01.01.2023 11:00:00,0.09,0.06,244.0,39.5,0.0,0.0,0.072,-1015.2,0.42,140.1,0.0,100.0,22.0,"(2030, 11)"
01.01.2023 11:00:00,01.01.2023 12:00:00,0.07,0.08,244.0,32.0,0.0,0.0,0.072,-1001.0,0.44,160.0,0.0,100.0,22.0,"(2030, 12)"
01.01.2023 12:00:00,01.01.2023 13:00:00,0.05,0.09,244.0,31.5,0.0,0.0,0.072,-807.6,0.43,187.4,0.0,100.0,22.0,"(2030, 13)"
01.01.2023 13:00:00,01.01.2023 14:00:00,0.03,0.08,244.0,30.1,0.0,0.0,0.072,-898.2,0.43,159.2,0.0,100.0,22.0,"(2030, 14)"
01.01.2023 14:00:00,01.01.2023 15:00:00,0.03,0.06,244.0,28.9,0.0,0.0,0.072,-521.4,0.42,162.2,0.0,100.0,22.0,"(2030, 15)"
01.01.2023 15:00:00,01.01.2023 16:00:00,0.05,0.03,244.0,28.3,0.0,0.0,0.072,-292.8,0.39,173.7,0.0,100.0,22.0,"(2030, 16)"
01.01.2023 16:00:00,01.01.2023 17:00:00,0.08,0.0,244.0,27.0,0.0,0.0,0.072,351.7,0.38,195.0,0.0,100.0,22.0,"(2030, 17)"
01.01.2023 17:00:00,01.01.2023 18:00:00,0.17,0.0,244.0,26.7,0.0,0.0,0.072,854.0,0.38,228.0,0.0,100.0,22.0,"(2030, 18)"
01.01.2023 18:00:00,01.01.2023 19:00:00,0.16,0.0,244.0,26.8,0.0,0.0,0.072,924.2,0.38,205.1,0.0,100.0,22.0,"(2030, 19)"
